word,part_of_speech,meaning,example,phonetic_symbol,audio_link
behave,verb;;,（以某种方式）行事，表现;;（在某种环境或条件下）做出特定行为;;听话；举止端正;;,"She always behaves well/badly when her aunts come to visit.;;每当她姨妈来作客时，她总是表现很好／很差。;;Whenever there was a full moon he would start behaving strangely.;;每当月圆之时他就行为怪异。;;They behaved as if nothing had happened.;;他们表现得好像什么也没有发生过一样。;;They learn how particles behave in solids, liquids, and gases.;;他们了解到粒子在固体、液体和气体中如何运动。;;It is believed that animals behave differently before a natural disaster.;;据信动物在自然灾害发生之前会行动异常。;;Did the children behave (themselves)?;;孩子们守规矩吗？;;",/bɪˈheɪv/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbeg/ukbegui006.mp3
bend,verb;;noun;;,弯曲处;;（使）弯曲;;弯腰;;单腿跪地;;（足球比赛中的）弧线球，香蕉球;;潜函病，减压病;;,"The road bends to the left after the traffic lights.;;过了第一个红绿灯后道路弯向左侧。;;I bent down and picked up the coins lying on the road.;;我弯腰捡起路上的硬币。;;Now, bend forward/over and touch your toes!;;现在，向前弯腰触摸脚趾。;;Make sure you bend your knees when you're picking up heavy objects.;;提重物时一定要屈膝。;;After her fall she complained that she couldn't bend her leg properly.;;摔了一跤之后，她说她的腿不能正常弯曲了。;;He went down on bended knee to ask her to marry him.;;他单腿跪地向她求婚。;;There's a bend in the pipe so you can't see from one end to the other.;;管子是弯的，所以你无法从一头看到另一头。;;The car came around the bend on the wrong side of the road.;;汽车在拐弯时驶错了方向。;;Good players can put bend on the ball.;;好的运动员能够踢出弧线球。;;",/bend/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbel/ukbelly015.mp3
bilingual,adjective;;,能用两种语言的；两种语言的;;,She works as a bilingual secretary for an insurance company.;;她在一家保险公司担任双语秘书。;;a bilingual dictionary;;双语词典;;,/baɪˈlɪŋ.ɡwəl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbif/ukbiff_030.mp3
booklet,noun;;,小册子;;,,/ˈbʊk.lət/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukboo/ukbookb012.mp3
boost,verb;;noun;;,改善；提高；增强；推动;;改善；提高；增强；推动;;,The theatre managed to boost its audiences by cutting ticket prices.;;剧院设法通过降低票价来增加观众数量。;;Share prices were boosted by reports of the president's recovery.;;总统康复的报道推动股票价格上扬。;;I tried to boost his ego (= make him feel more confident) by praising his cooking.;;我赞扬他的厨艺，试图以此增强他的自信心。;;The lowering of interest rates will give a much-needed boost to the economy.;;利率的下调将会给经济注入急需的推动力。;;Passing my driving test was such a boost to my confidence.;;通过了驾照考试使我自信心大增。;;,/buːst/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukboo/ukboomi007.mp3
boredom,noun;;,厌烦；厌倦；乏味；无聊;;,They started quarrelling out of sheer boredom.;;他们开始吵架完全是出于无聊。;;,/ˈbɔː.dəm/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukboo/ukboomi028.mp3
branch,noun;;verb;;,分支机构;分部;分行;分店;;树枝;;支流;岔路;;一部分;支族，旁系;;（血管）分枝;;出枝；发出新枝;;分岔，岔开;;,"Immunology is a branch of biological science.;;免疫学是生物科学的一个分支。;;One branch of their family (= one group of relatives) emigrated to Brazil.;;他们家族的一支移居到了巴西。;;In the US, the president is part of the executive branch of the government.;;在美国，总统是政府行政分支的一部分。;;I used to work in the local branch of a large bank.;;我曾在一家大型银行设在当地的分行工作。;;She's a branch manager.;;她是个分部经理。;;Take the forms into your local branch office.;;把这些表格带到你们的地方分部。;;bare/leafy/flowering branches;;光秃秃／叶子茂密／开满花的树枝;;The fruit on the lower branches was protected from the sun.;;下边树枝上的果子见不到阳光。;;Watch out for overhanging branches.;;小心下垂的树枝。;;This branch of the river eventually empties into the Atlantic.;;大河的这条支流最终注入大西洋。;;The top of the tree had been cut off to encourage it to branch (out) lower down.;;树冠已被砍去，目的是为了促使它从下面抽出新枝。;;The road branches at the bottom of the hill.;;公路在山脚下分岔。;;",/brɑːntʃ/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbra/ukbrain009.mp3
branding,noun;;,品牌化;;,The successful branding and marketing of the new beer has already boosted sales and increased profits.;;对这种新啤酒的成功品牌化和市场营销已经促进了销售，其利润也有所增加。;;,/ˈbræn.dɪŋ/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbra/ukbrain012.mp3
breed,noun;;verb;;,（人的）类型，种类;;（动植物的）品种，种;;（动物）交配繁殖;;（为育种目的）饲养;;招致，导致;;,"Terriers are bred for their fighting instincts.;;交配繁殖梗狗是为了保持它们好斗的本性。;;His main income comes from breeding cattle.;;他的主要收入来自养牛。;;The blackbird, like most birds, breeds in the spring.;;乌鸫和大多数鸟一样是在春天繁殖。;;Favouritism breeds resentment.;;偏袒招致怨恨。;;a breed of dog/cat/horse/sheep/cattle;;某个品种的狗／猫／马／羊／牛;;What's your favourite breed of dog/dog breed?;;你最喜欢哪种狗？;;Arletty was that rare breed of actress - beautiful, sexy and funny.;;阿列蒂是那种少见的女演员——漂亮、性感、幽默。;;A new breed of film-maker has taken over Hollywood.;;新一代电影导演在好莱坞占据了主导地位。;;Authentic blues singers are a dying breed (= becoming rare) these days.;;正宗的蓝调歌手近来很少见。;;",/briːd/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbre/ukbreak023.mp3
brilliant,adjective;;,颇有才气的，聪颖的;技艺高超的;;光明的，明亮的;（颜色）鲜艳的;;非常好的，出色的;;,"Her mother was a brilliant scientist.;;她母亲是一位才华横溢的科学家。;;He gave a brilliant performance.;;他的表演非常出色。;;The idea was quite brilliant.;;这个想法太高明了。;;She seemed to have a brilliant career ahead of her (= was likely to be extremely successful).;;她似乎前途灿烂。;;The sky was a brilliant, cloudless blue.;;天空晴朗无云，一片蔚蓝。;;I was dazzled by a brilliant light.;;明亮的灯光晃花了我的眼睛。;;""Did you like the film?"" ""I thought it was brilliant."";;“你喜欢这部电影吗?”“我觉得它非常棒。”;;She's got a brilliant sense of humour.;;她极富幽默感。;;Oh, brilliant! My parcel's arrived.;;噢，太棒了！我的包裹到了。;;",/ˈbrɪl.jənt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbri/ukbriga012.mp3
brochure,noun;;,小册子;资料（或广告）手册;;,,/ˈbrəʊ.ʃər/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbri/ukbrit_025.mp3
bubble,noun;;verb;;,冒泡;;泡;气泡;泡沫;;经济泡沫;;舒适圈;;,"As water begins to boil, bubbles rise to the surface.;;水开了，气泡升向水面。;;I love champagne - I think it's the bubbles that make it so good.;;我喜欢香槟——我觉得它的美妙之处在于它的气泡。;;Japan's economic bubble;;日本的经济泡沫;;the housing bubble;;房地产泡沫;;He made millions before the dotcom bubble burst.;;在互联网泡沫破碎之前他赚了几百万。;;The candidate liked to talk to ordinary people to get a fix on what was happening outside his bubble. ;;这位候选人喜欢与老百姓交谈，以了解他生活圈外所发生的事情。;;On social media we all tend to live in our bubbles, where everyone feels the same way we do.;;在社交媒体上，我们都喜于处在与自己同声共气的舒适圈中。;;We could hear the soup bubbling away (= bubbling strongly) in the pot.;;我们能听见罐子里的汤咕嘟咕嘟的冒泡声。;;",/ˈbʌb.əl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbru/ukbrusq017.mp3
budget,noun;;verb;;adjective;;noun;;,预算;;预算费;;制订预算，计划（开支）;;低廉的;;（政府的）预算案，年度预算;;,The firm has drawn up a budget for the coming financial year.;;公司草拟了下一财政年度的预算方案。;;Libraries are finding it increasingly difficult to remain within (their) budget.;;图书馆感到想把支出维持在预算之内越来越难。;;an annual budget of £40 million;;每年4000万英镑的预算;;An extra $20 million has been budgeted for schools this year.;;今年学校预算增加了2000万英镑。;;a budget holiday/hotel/price;;廉价旅行度假／廉价宾馆／低廉的价格;;,/ˈbʌdʒ.ɪt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbud/ukbuddh007.mp3
bully,verb;;noun;;,恃强凌弱者，以大欺小者;;伤害;胁迫;欺负，欺凌;;,You're just a big bully!;;你欺负人！;;Teachers usually know who the bullies are in a class.;;教师通常知道班上的恶霸学生都是谁。;;Our survey indicates that one in four children is bullied at school.;;我们的调查表明，有四分之一的孩子在学校受人欺负。;;Don't let anyone bully you into doing something you don't want to do.;;别让任何人胁迫你做你不愿做的事情。;;,/ˈbʊl.i/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbul/ukbulbo030.mp3
burial,noun;;,埋葬;葬礼;;,We went back to Ireland for my uncle's burial.;;我们回到爱尔兰参加叔叔的葬礼。;;,/ˈber.i.əl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbun/ukbunny026.mp3
burst,verb;;noun;;,（使）迸裂；（使）爆炸;;（心中）充满；心情迫切;;突然着火;;爆裂;;（尤指短期的）突然增加;迸发;;,"I hate it when balloons burst.;;我讨厌气球突然破的时候。;;Suddenly the door burst open (= opened suddenly and forcefully) and police officers rushed in.;;门突然被撞开了，警察冲了进来。;;The river was threatening to burst its banks.;;河流有决口的危险。;;If I eat any more cake I'll burst (= I cannot eat anything else)!;;我再吃蛋糕肚皮就会胀破的！;;I knew they were bursting with curiosity but I said nothing.;;我知道他们充满了好奇，但我什么也没说。;;Tom was bursting to tell everyone the news.;;汤姆迫不及待地想把消息告诉每个人。;;I'm bursting to go to the loo!;;我急着想上厕所！;;Smoke started pouring out from underneath, then the truck burst into flames.;;烟开始从下面冒了出来，接着卡车便着火了。;;a burst in the water pipe;;水管爆裂;;a burst of speed/applause/laughter;;突然的加速／一阵掌声／一阵大笑;;",/bɜːst/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukb/ukbur/ukburle019.mp3
calendar,noun;;,日历;;日历本;;历法;;大事记;年历;重大事件一览表;;,An old calendar for 2012 was still hanging on the wall of her office.;;她办公室墙上依然挂着2012年的日历。;;He wrote the date of the meeting in his calendar.;;他在日历本上写下了会议日期。;;the Christian/Jewish/Chinese calendar;;基督教／犹太教／中国历法;;the political/school calendar;;政治／学校日程表;;,/ˈkæl.ən.dər/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcaj/ukcajun020.mp3
campaign,noun;;verb;;,（尤指政治、商业或军事的）专项活动，运动;;战役，作战;;从事活动；开展运动；发起运动;;,The protests were part of their campaign against the proposed building development in the area.;;他们反对在该地区进行房地产开发，抗议其反对运动的一部分。;;This is the latest act of terrorism in a long-standing and bloody campaign of violence.;;这是旷日持久的血腥暴力运动中最新的一次恐怖活动。;;The endless public appearances are an inevitable part of an election campaign.;;没完没了的公开露面是竞选活动不可避免的组成部分。;;She's the campaign organizer for the Labour Party.;;她是工党的竞选组织者。;;The government have just launched (= begun) their annual Christmas campaign to stop drunken driving.;;政府刚刚展开其一年一度的制止酒后驾车的圣诞专项活动。;;a controversial new advertising campaign;;备受争议的一则新广告的宣传活动;;a bombing campaign;;轰炸行动;;They've been campaigning for years to get him out of prison.;;多年来为了让他出狱他们一直在积极活动。;;He's spending a lot of his time at the moment campaigning for/on behalf of the Conservative Party.;;他目前将大量时间用于为／代表保守党奔走游说。;;They're busy campaigning against the building of a new motorway near here.;;他们正积极行动，反对在附近新建高速公路。;;,/kæmˈpeɪn/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcam/ukcambo019.mp3
canal,noun;;,运河;渠;;管，道;;,"The Panama Canal provides a crucial shipping link between the Atlantic and Pacific oceans.;;巴拿马运河是连接大西洋和太平洋至关重要的航道。;;The alimentary canal is the path by which food enters the body, and solid waste is passed out.;;消化道是食物进入身体，固体废物排出身体的通道。;;",/kəˈnæl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcam/ukcamsh005.mp3
capable,adjective;;suffix;;,有能力的；熟练的；能干的;;有能力做…；能做…;;可…的，有…能力的（加在名次后形成形容词）;;,"She's a very capable woman/worker/judge.;;她是个很能干的女人／很熟练的工人／能力很强的法官。;;We need to get an assistant who's capable and efficient.;;我们需要一个能力强、效率高的助理。;;Only the Democratic Party is capable of running the country.;;只有民主党才有能力治理这个国家。;;A force ten wind is capable of blowing the roofs off houses.;;10级的大风能吹走屋顶。;;When she's drunk she's capable of saying (= likely to say) awful, rude things.;;她喝醉后会说些难听粗鲁的话。;;I think your plan is capable of being (= could be) improved.;;我认为你的计划还可以改进。;;These are nuclear-capable aircraft (= they can carry nuclear weapons).;;这些飞机可载核武器。;;",/ˈkeɪ.pə.bəl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcan/ukcant_017.mp3
capacity,noun;;,容积，容量;生产能力;（尤指某人或某组织的）办事能力;;职位;工作;角色;;,"The stadium has a seating capacity of 50,000.;;这个体育场能容纳5万人。;;The game was watched by a capacity crowd/audience of 50,000 (= the place was completely full).;;比赛场座无虚席，5万观众观看了比赛。;;She has a great capacity for hard work.;;她特别能吃苦耐劳。;;The purchase of 500 tanks is part of a strategy to increase military capacity by 25 percent over the next five years.;;购买500辆坦克是在今后5年里将军事力量增加25%的战略计划的一部分。;;It seems to be beyond his capacity to (= he seems to be unable to) follow simple instructions.;;他好像连简单的指令也听不懂。;;Do you think it's within his capacity to (= do you think he'll be able to) do the job without making a mess of it?;;你认为他有能力完成这项工作而不把它搞砸吗？;;The generators each have a capacity of (= can produce) 1,000 kilowatts.;;每台发电机都有1000千瓦的发电能力。;;The larger cars have bigger capacity engines (= the engines are bigger and more powerful).;;大轿车引擎功率也比较大。;;All our factories are working at (full) capacity (= are producing goods as fast as possible).;;我们所有的工厂都在满负荷运行。;;We are running below capacity (= not producing as many goods as we are able to) because of cancelled orders.;;因为订单取消，我们的工厂开工不足。;;He suffered a stroke in 2008, which left him unable to speak, but his mental capacity (= his ability to think and remember) wasn't affected.;;2008年他得了中风，不能说话了，但是思维能力没有受影响。;;She guides tourists at the Martin Luther King Jr. Birth Home in her capacity as a National Park Service ranger.;;作为国家公园管理局的管理员，她陪同游客参观马丁·路德·金的出生地。;;She was speaking in her capacity as a novelist, rather than as a television presenter.;;她是作为小说家而不是电视节目主持人在发言。;;",/kəˈpæs.ə.ti/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcan/ukcant_021.mp3
capture,verb;;,赢得;获得，取得;;俘虏;俘获;（尤指用武力）夺取;;（用文字或图象）表现，描绘，刻画;;拍摄，摄制;;（计算机等）采集，储存（信息）;;唤起（想象）；引起（关注）;;,Two of the soldiers were killed and the rest were captured.;;两名士兵被杀，其余被俘。;;Rebel forces captured the city after a week-long battle.;;叛军经过一周的战斗攻取了该市。;;The Democratic Party captured 70 percent of the vote.;;民主党获得了70%的选票。;;It would be impossible to capture her beauty in a painting.;;她的美无法用画笔描绘。;;A passer-by captured the whole incident on film.;;一位路人拍摄下了事件的全过程。;;The American drive to land a man on the Moon captured the imagination/attention of the whole world.;;美国的载人登月行动引起了全世界的遐想／关注。;;,/ˈkæp.tʃər/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcap/ukcapit026.mp3
cargo,noun;;,（轮船、飞机等大型交通工具装载的）货物;;,a cargo ship/plane;;货船／货运飞机;;The ship was carrying a cargo of wood.;;这艘船正在运送一批木材。;;,/ˈkɑː.ɡəʊ/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcar/ukcardi028.mp3
carve,verb;;,（尤指在石头或木头上）雕刻;;把（熟肉）切成小片;;,"This totem pole is carved from/out of a single tree trunk.;;这根图腾柱是由一整根树干雕刻而成的。;;He carved her name on a tree.;;他将她的名字刻在了树上。;;Some of the tunnels in the cliff are natural, some were carved out (= cut into the rock) by soldiers for defensive purposes.;;峭壁中的一些隧道是天然形成的，一些是士兵们在石头上开凿出来用于防御的。;;Would you like me to carve (the chicken)?;;您要我（把鸡肉）切成小块吗？;;",/kɑːv/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/ukc/ukcal/ukcalip022.mp3
